,descripcion_ubicacion,Celeste Y Blanca,El Futuro Es Con Todos,Nueva Izquierda,Olmedo Gobernador 2019,Politica Obrera,Saenz Gobernador,Todos Tenemos Futuro,Unidad,Voto en BLANCO,Votos IMPUGNADOS,Votos OBSERVADOS,id_ubicacion,cant_votos_positivos,cant_votantes
0,Aguaray,2997,1644,50,1134,87,1750,178,84,224,2,30,SA.8.28,7924,8180
1,Aguas Blancas,1334,122,10,79,13,426,43,14,58,1,2,SA.7.60,2041,2102
2,Angastaco,511,69,7,68,5,317,20,7,12,0,2,SA.18.50,1004,1018
3,Animana,674,68,6,93,10,294,10,11,23,0,2,SA.18.49,1166,1191
4,Apolinario Saravia,2191,382,57,783,44,988,111,43,237,6,12,SA.5.12,4599,4854
5,Cachi,807,204,17,371,13,2114,41,30,86,3,10,SA.20.53,3597,3696
6,Cafayate,1611,904,86,2416,75,3446,186,121,262,2,52,SA.17.47,8845,9161
7,Campo Quijano,1605,498,87,2842,108,5075,170,188,353,5,25,SA.21.56,10573,10956
8,Campo Santo,1204,539,44,1129,34,1927,111,111,137,0,5,SA.3.6,5099,5241
9,Cerrillos,2940,1326,144,4042,160,9522,310,319,517,6,90,SA.11.35,18763,19376
10,Chicoana,966,348,54,1769,39,2688,112,70,160,3,13,SA.12.37,6046,6222
11,Colonia Santa Rosa,1806,828,86,1705,189,3891,230,113,214,4,21,SA.7.21,8848,9087
12,Coronel Moldes,561,358,16,498,14,1741,44,31,72,0,6,SA.13.40,3263,3341
13,El Bordo,653,517,32,974,37,1388,74,57,99,2,15,SA.3.5,3732,3848
14,El Carril,1183,390,51,2166,54,3185,205,100,232,1,21,SA.12.38,7334,7588
15,El Galpon,1875,286,37,700,33,1750,73,54,135,5,13,SA.4.10,4808,4961
16,El Jardin,322,106,5,137,8,801,8,12,25,1,4,SA.16.46,1399,1429
17,El Potrero,713,76,6,285,15,552,41,13,51,0,1,SA.15.43,1701,1753
18,El Quebrachal,3565,303,56,596,41,2698,161,60,129,3,25,SA.5.15,7480,7637
19,El Tala,496,246,6,189,7,951,17,7,51,0,4,SA.16.45,1919,1974
20,Embarcacion,4711,3883,149,1257,150,3221,492,169,440,8,105,SA.8.24,14032,14585
21,General Ballivian,842,52,6,140,18,181,34,20,36,0,1,SA.8.25,1293,1330
22,General Güemes,3216,1901,235,3610,176,8709,481,269,532,19,82,SA.3.7,18597,19230
23,General Mosconi,7458,424,49,830,100,1324,116,123,294,1,18,SA.8.26,10424,10737
24,General Pizarro,762,132,18,178,12,731,70,18,44,0,0,SA.5.13,1921,1965
25,Guachipas,784,168,9,365,17,813,41,25,47,0,2,SA.14.41,2222,2271
26,Hipolito Yrigoyen,1469,421,45,2254,121,2477,84,105,142,4,21,SA.7.20,6976,7143
27,Iruya,621,60,8,156,9,938,29,17,16,1,0,SA.9.30,1838,1855
28,Isla De Cañas,328,35,6,115,7,532,15,2,16,0,1,SA.9.31,1040,1057
29,Joaquin V. Gonzalez,4012,903,143,2233,111,3312,361,152,374,5,50,SA.5.14,11227,11656
30,La Caldera,486,220,17,582,42,1529,47,44,79,1,7,SA.2.3,2967,3054
31,La Candelaria,509,38,3,65,8,291,23,10,35,0,0,SA.16.44,947,982
32,La Merced,1773,412,47,1644,49,3227,123,128,207,2,28,SA.11.36,7403,7640
33,La Poma,335,63,12,58,8,582,14,15,23,0,0,SA.22.57,1087,1110
34,La Viña,345,121,9,308,13,1206,23,18,38,1,4,SA.13.39,2043,2086
35,Las Lajitas,1882,362,38,1044,43,2334,172,62,168,3,21,SA.5.11,5937,6129
36,Los Toldos,1070,33,4,96,12,293,26,17,23,1,4,SA.10.33,1551,1579
37,Molinos,592,96,11,86,4,655,20,13,25,0,4,SA.19.51,1477,1506
38,Nazareno,1072,31,7,81,8,338,17,7,23,5,1,SA.10.34,1561,1590
39,Payogasta,485,70,10,100,3,674,18,12,15,0,3,SA.20.54,1372,1390
40,Pichanal,6123,628,97,1537,132,3989,359,140,307,0,42,SA.7.23,13005,13354
41,Prof. Salvador Mazza,4922,696,89,1356,118,3195,328,108,274,5,38,SA.8.29,10812,11129
42,Rio Piedras,898,63,10,122,6,267,20,5,36,0,0,SA.4.9,1391,1427
43,Rivadavia Banda Norte,3280,129,43,234,33,909,466,31,91,1,5,SA.6.17,5125,5222
44,Rivadavia Banda Sur,1651,691,62,507,63,1277,176,73,99,3,20,SA.6.16,4500,4622
45,Rosario De La Frontera,3861,1229,126,3841,107,5371,323,185,561,3,50,SA.15.42,15043,15657
46,Rosario De Lerma,2720,744,85,5384,165,5115,144,189,394,2,42,SA.21.55,14546,14984
47,S. Antonio De Los Cobres,988,367,51,499,40,1467,78,61,134,3,5,SA.23.58,3551,3693
48,S. Ramon De La Nueva Oran,9652,3378,333,9181,743,14352,1228,619,1639,20,164,SA.7.19,39486,41309
49,Salta,37256,24017,2208,53397,3105,148805,4428,6787,9962,123,1427,SA.1.1,280003,291515
50,San Carlos,624,114,14,284,13,1075,28,21,32,0,3,SA.18.48,2173,2208
51,San Jose De Metan,3785,1316,103,4368,167,5558,263,194,544,5,68,SA.4.8,15754,16371
52,San Lorenzo,1659,898,73,2690,138,8658,158,226,430,3,47,SA.1.2,14500,14980
53,Santa Victoria Este,2478,219,54,121,39,753,150,57,85,5,18,SA.6.18,3871,3979
54,Santa Victoria Oeste,953,57,14,75,14,444,43,21,37,0,5,SA.10.32,1621,1663
55,Seclantas,1074,50,10,120,8,632,14,7,28,0,1,SA.19.52,1915,1944
56,Tartagal,16010,2406,165,9290,266,6897,578,439,1062,10,81,SA.8.27,36051,37204
57,Tolar Grande,161,9,4,28,3,78,4,4,8,0,1,SA.23.59,291,300
58,Urundel,1047,172,3,342,7,235,23,5,49,0,4,SA.7.22,1834,1887
59,Vaqueros,836,560,37,1451,78,3241,126,120,176,0,20,SA.2.4,6449,6645
